Site_ID,Site_name,Latitude_degN,Longitude_degE,Vegetation_type,Observation_period,Data_source
1,Xishuangbanna,21.9598,101.2122,Forest,2003-2016,ChinaFLUX / FLUXNET2015
2,Dinghushan,23.1737,112.5344,Forest,2003-2020,ChinaFLUX
3,Dinghushan,23.1733,112.5361,Forest,2003-2010,ChinaFLUX / FLUXNET2015
4,Ailaoshan,24.5406,101.0281,Forest,2009-2019,ChinaFLUX
5,Qianyanzhou,26.7414,115.0581,Forest,2003-2015,ChinaFLUX
6,Qianyanzhou,26.7414,115.0581,Forest,2003-2014,ChinaFLUX / FLUXNET2015
7,Huitong,26.7856,109.5917,Forest,2008-2019,ChinaFLUX
8,Dangxiong,30.4979,91.0664,Grassland,2004-2019,ChinaFLUX / FLUXNET2015
9,Changwu,35.2333,107.6667,Cropland,2005-2009,ChinaFLUX
10,Yucheng,36.833,116.567,Cropland,2003-2018,ChinaFLUX / FLUXNET2015
11,Haibei,37.6142,101.3372,Wetland,2003-2018,ChinaFLUX / FLUXNET2015
12,Haibei,37.6753,101.3408,Grassland,2003-2018,ChinaFLUX / FLUXNET2015
13,Shouyang,37.7502,113.2074,Cropland,2012-2020,ChinaFLUX
14,Luancheng,37.8894,114.6928,Cropland,2008-2020,ChinaFLUX
15,Arou,38.0473,100.4643,Grassland,2009-2019,ChinaFLUX
16,Daman,38.8555,100.3722,Cropland,2012-2019,ChinaFLUX
17,Duolun,42.0467,116.2836,Grassland,2005-2020,ChinaFLUX
18,Changbaishan,42.4025,128.0958,Forest,2003-2019,ChinaFLUX / FLUXNET2015
19,Inner Mongolia,43.5458,116.6778,Grassland,2004-2020,ChinaFLUX / FLUXNET2015
20,Tongyu,44.5913,122.52,Grassland,2004-2017,ChinaFLUX
21,Changling,44.5934,123.5092,Grassland,2007-2020,ChinaFLUX / FLUXNET2015
22,Maoershan,45.42,127.67,Forest,2005-2018,ChinaFLUX
